Category,Filename,Is_Objectified,Is_Text,Is_Irrelevant_Subject,,,,
Gay,1_1,0,1,0,,,,
Gay,2_1,0,0,0,,,,
Gay,3_1,0,0,0,,,,
Gay,4_1,0,1,0,,,,
Gay,5_1,0,0,0,,,,0.0625
Gay,6_1,0,0,0,,,,
Gay,7_1,0,0,0,,,,
Gay,8_1,0,0,0,,,,
Gay,9_1,0,1,0,,,,
Gay,10_1,0,0,0,,,,
Gay,11_1,0,0,0,,,,
Gay,E4g8EPWWQAE13fB,0,0,0,,,,
Gay,E4LfivRWEA0GGNY,0,0,0,,,,
Gay,E4U3ePbWQAYUlLh,1,0,0,,,,
Gay,E17LmtbXEAMe-cW,0,0,0,,,,
Nudist_Black,E7f3kCwXIAQgUZe,1,0,0,,,,
Nudist_Black,E7oLcNPWYAApD3H,0,0,0,,,,
Nudist_Black,E7orQxkXsAQGM-t,0,0,1,,,,
Nudist_Black,E7os3-5XoBMB_Bt,0,0,0,,,,
Nudist_Black,E7q9ZZkXoAITvVo,0,0,0,,,,
Nudist_Black,E7tgupkXIAo_fz5,0,0,0,,,,
Nudist_Black,E7tl8HkVoAMAYrU,0,0,1,,,,
Nudist_Black,E7tnMWeXoAEL04F,0,0,1,,,,
Nudist_Black,E7uSDVAXEAM_3tn,0,0,0,,,,
Nudist_Black,E7xbayiXEAEbcqn,0,0,0,,,,
Nudist_Black,E7yHTVXWQAE9gjl,0,0,1,,,,
Nudist_Black,E14Ofn5X0Acyt9r,0,0,0,,,,
Nudist_Black,E70onvpWUAAFE15,0,0,0,,,,
Nudist_Black,E76Sm5cXsAQ7ywZ,0,0,0,,,,
Nudist_Black,E76SxYnWQAEZWPC,0,0,0,,,,
Nudist_White,1_1,0,0,0,,,,
Nudist_White,10_1,0,1,0,,,,
Nudist_White,12_1,0,0,0,,,,
Nudist_White,13_1,0,0,0,,,,
Nudist_White,14_1,0,0,0,,,,
Nudist_White,16_1,0,0,0,,,,
Nudist_White,17_1,0,0,0,,,,
Nudist_White,18_1,0,0,0,,,,
Nudist_White,19_1,1,0,0,,,,
Nudist_White,20_1,0,1,0,,,,
Nudist_White,23_1,0,0,0,,,,
Nudist_White,25_1,0,0,0,,,,
Nudist_White,26_1,0,0,0,,,,
Nudist_White,27_1,0,0,0,,,,
Nudist_White,29_1,1,0,0,,,,
Tribal,D_GOwqoX4AA_5xB,0,0,0,,,,
Tribal,D1JuP1NW0AAEA3n,1,0,0,,,,
Tribal,Dvk_w_zXcAIAVYy,1,0,0,,,,
Tribal,E1TKKVMXIAYJ7CR,0,0,0,,,,
Tribal,E1TPJfNXIA4Rv4X,0,0,0,,,,
Tribal,E1TPS1gWYAgwPwU,0,0,0,,,,
Tribal,Eapp_1GXgAETtcs,0,1,0,,,,
Tribal,EbT4P0kXQAEahJW,0,0,0,,,,
Tribal,Ecle542XgAAo0fB,0,0,0,,,,
Tribal,EfTlbcxUcAEfKFK,0,0,0,,,,
Tribal,EgBQxOdX0AELy0x,0,0,0,,,,
Tribal,Eh0z704WsAE0MZt,0,0,0,,,,
Tribal,EHribi7X4AAikp5,0,0,0,,,,
Tribal,EPe_VUjWoAAMQNP,0,0,0,,,,
Tribal,EZGVb-3XsAI1Uvu,0,0,0,,,,
